,job_title,company,salary,contract,location,job_url,date_found,advertised_on
0,Senior Data Analyst,Clarion Housing Group Ltd,£43264 - £59488 per annum,"permanent,full-time","Central London, Greater London",https://jobsinkent.com/job/2423530,2022-10-31,jobsinkent.com/search
5,Data Cable Engineer - City of London,PW Construction,Negotiable,"temporary,full-time","City of London, Greater London",https://jobsinkent.com/job/2421623,2022-10-31,jobsinkent.com/search
10,"BI, Data & Performance Manager (Healthcare)",Commercial Services Trading Ltd,£52000 - £55000 per annum + (Pro Rata),"contract,part-time","Royal Tunbridge Wells, Kent",https://jobsinkent.com/job/2064801,2022-10-31,jobsinkent.com/search
11,Temporary Data Entry Clerk,Commercial Services Trading Ltd,£8.91 - £9.00 per hour,"temporary,full-time","Aylesford, Tonbridge and Malling, Kent",https://jobsinkent.com/job/2063952,2022-10-31,jobsinkent.com/search
16,Data cable Engineer - Fulham ASAP,PW Construction,Negotiable,"permanent,full-time","Fulham, Greater London",https://jobsinkent.com/job/2313664,2022-10-31,jobsinkent.com/search
54,Data Architect,Veolia UK,"£65,000 - £84,600 per annum, inc benefits",Permanent,United Kingdom,https://www.reed.co.uk/jobs/data-architect/48653746,2022-10-31,reed.co.uk
56,Data Analyst,Morgan Sindall Property Services,"£35,000 - £40,000 per annum, inc benefits",Permanent,Dartford,https://www.reed.co.uk/jobs/data-analyst/48211407,2022-10-31,reed.co.uk
57,Data Administrator,Braundton Consulting Limited,"£22,194 per annum",Permanent,Sidcup,https://www.reed.co.uk/jobs/data-administrator/48648003,2022-10-31,reed.co.uk
58,Data Administrator ,Braundton Consulting Limited,"£22,194 per annum",Permanent,Orpington,https://www.reed.co.uk/jobs/data-administrator/48636996,2022-10-31,reed.co.uk
60,Data Analyst,Premier IT,"£30,000 - £35,000 per annum",Permanent,Basildon,https://www.reed.co.uk/jobs/data-analyst/48631725,2022-10-31,reed.co.uk
61,Data Analyst,Morgan Sindall Property Services,"£26,000 - £34,000 per annum, inc benefits",Permanent,Billericay,https://www.reed.co.uk/jobs/data-analyst/48223150,2022-10-31,reed.co.uk
62,Data Analyst,IronmongeryDirect & ElectricalDirect,"£32,000 - £35,000 per annum",Permanent,Basildon,https://www.reed.co.uk/jobs/data-analyst/48320718,2022-10-31,reed.co.uk
65,Trainee Data Analyst,Hatch,,Permanent,United Kingdom,https://www.reed.co.uk/jobs/trainee-data-analyst/48630045,2022-10-31,reed.co.uk
67,Online Data Analyst,TELUS International AI Inc. ,,Permanent,United Kingdom,https://www.reed.co.uk/jobs/online-data-analyst/48335088,2022-10-31,reed.co.uk
71,Data Entry administrator,Shorterm Group,£11.00 per hour,Temporary,Westerham,https://www.reed.co.uk/jobs/data-entry-administrator/48561273,2022-10-31,reed.co.uk
73,Data Cabling engineer. ,F&D Tech Solutions,"£22,000 - £38,000 per annum, negotiable, OTE",Permanent,Bexleyheath,https://www.reed.co.uk/jobs/data-cabling-engineer/48475959,2022-10-31,reed.co.uk
74,Claims Data Analyst,Hastings Direct,,Permanent,East Sussex,https://www.reed.co.uk/jobs/claims-data-analyst/48405690,2022-10-31,reed.co.uk
75,Operations Data Analyst,P&O Ferries,Salary not specified,Permanent,Dover,https://www.reed.co.uk/jobs/operations-data-analyst/48610553,2022-10-31,reed.co.uk
76,Data Product Lead,Nigel Frank International,"£60,000 - £68,000 per annum",Permanent,Maidstone,https://www.reed.co.uk/jobs/data-product-lead/48586852,2022-10-31,reed.co.uk
78,Junior Data Analyst,OBJECTIVE HR LTD,"£25,000 - £35,000 per annum",Permanent,Wickford,https://www.reed.co.uk/jobs/junior-data-analyst/48535395,2022-10-31,reed.co.uk
79,Data Lead and Manager,Harris Federation,"£40,566 - £42,585 per annum",Permanent,Orpington,https://www.reed.co.uk/jobs/data-lead-and-manager/48473616,2022-10-31,reed.co.uk
80,Java/Big Data Developer,Pontoon,,Permanent,Bromley,https://www.reed.co.uk/jobs/java-big-data-developer/48555907,2022-10-31,reed.co.uk
81,Data Analyst - Construction,Howells Solutions,"£35,000 - £40,000 per annum",Permanent,Dartford,https://www.reed.co.uk/jobs/data-analyst-construction/48669226,2022-10-31,reed.co.uk
83,Data & Marketing Analyst,eFinancialCareers,,Permanent,East Grinstead,https://www.reed.co.uk/jobs/data-marketing-analyst/48687014,2022-10-31,reed.co.uk
85,Data and BI Analyst,Commercial Services HR,"£30,000 - £35,000 per annum",Permanent,Kings Hill,https://www.reed.co.uk/jobs/data-and-bi-analyst/48625098,2022-10-31,reed.co.uk
86,Trainee Data Analyst Course,Hatch,,Permanent,United Kingdom,https://www.reed.co.uk/jobs/trainee-data-analyst-course/48630039,2022-10-31,reed.co.uk
87,Customer Operations Data Analyst,Hastings Direct,,Permanent,Bexhill-on-Sea,https://www.reed.co.uk/jobs/customer-operations-data-analyst/48381994,2022-10-31,reed.co.uk
88,Supply Chain Data Analyst,Rutherford Briant,"£42,000 per annum",Permanent,Basildon,https://www.reed.co.uk/jobs/supply-chain-data-analyst/48610970,2022-10-31,reed.co.uk
91,Interested in becoming a Data Analyst,Hatch,,Permanent,United Kingdom,https://www.reed.co.uk/jobs/interested-in-becoming-a-data-analyst/48630042,2022-10-31,reed.co.uk
93,Principal Engineer - Data Services,Hastings Direct,,Permanent,East Sussex,https://www.reed.co.uk/jobs/principal-engineer-data-services/48275415,2022-10-31,reed.co.uk
94,Data Entry Work From Home Online,925HomeJobs,,Permanent,United Kingdom,https://www.reed.co.uk/jobs/data-entry-work-from-home-online/48635620,2022-10-31,reed.co.uk
95,Trade Data Scala Developer,eFinancialCareers,,Permanent,Bromley,https://www.reed.co.uk/jobs/trade-data-scala-developer/48659607,2022-10-31,reed.co.uk
97,Data Analyst Course - No Experience Needed ,Hatch,,Permanent,United Kingdom,https://www.reed.co.uk/jobs/data-analyst-course-no-experience-needed/48630052,2022-10-31,reed.co.uk
98,Trainee Data Analyst - No experience Needed,Hatch,,Permanent,United Kingdom,https://www.reed.co.uk/jobs/trainee-data-analyst-no-experience-needed/48630049,2022-10-31,reed.co.uk
99,Senior Data Engineer - Hybrid - London,Nigel Frank International,"£60,000 - £72,000 per annum",Permanent,Dartford,https://www.reed.co.uk/jobs/senior-data-engineer-hybrid-london/48610340,2022-10-31,reed.co.uk
101,School Data Admin support - SIittingbourne,Academics ,£12.00 per hour,Contract,Sittingbourne,https://www.reed.co.uk/jobs/school-data-admin-support-siittingbourne/48382807,2022-10-31,reed.co.uk
103,Exams & Data Officer - Bromley / Kent Borders Nov 2022,Randstad Education,"£23,718 - £25,170 per annum",Permanent,Swanley,https://www.reed.co.uk/jobs/exams-data-officer-bromley-kent-borders-nov-2022/48415285,2022-10-31,reed.co.uk
105,Digital Product Owner (Data Products),SS&C,,Permanent,Basildon,https://www.reed.co.uk/jobs/digital-product-owner-data-products/47991035,2022-10-31,reed.co.uk
