,job_title,company,salary,contract,location,job_url,date_found,advertised_on
1,Data Analyst - Global Insurance Markets,MW Appointments,Negotiable,"permanent,full-time","City of London, Greater London",https://jobsinkent.com/job/2422053,2022-10-31,jobsinkent.com/search
2,Data Analyst,Pearson Whiffin Recruitment,£23000 - £28000 per annum + DOE,"permanent,full-time","West Malling, Kent",https://jobsinkent.com/job/2331144,2022-10-31,jobsinkent.com/search
3,Data Lead (Digital Marketing),Recruitment Solutions Folkestone Ltd,"£30-40,000 dep on exp","permanent,full-time","Ashford, Kent",https://jobsinkent.com/job/2277249,2022-10-31,jobsinkent.com/search
4,Data & GDPR Officer,Pearson Whiffin Recruitment,"Up to £35,000 per annum","permanent,full-time","Kings Hill, Kent",https://jobsinkent.com/job/2424610,2022-10-31,jobsinkent.com/search
6,Data Assistant / Analyst / Manager,KHR - Recruitment Specialists,+ Benefits,"permanent,full-time","Sevenoaks, Kent",https://jobsinkent.com/job/2424450,2022-10-31,jobsinkent.com/search
7,Data Analyst,Hays Specialist Recruitment Ltd,£35000.00 - £40000.00 per annum,"permanent,full-time","Dartford, Kent",https://jobsinkent.com/job/2424239,2022-10-31,jobsinkent.com/search
8,Azure Data Engineer,Pearson Whiffin Recruitment,£55000 - £60000 per annum,"permanent,full-time","Central London, Greater London",https://jobsinkent.com/job/2362033,2022-10-31,jobsinkent.com/search
9,Digital Analyst/ Data Visualisation Executive,Recruitment Solutions South East Ltd,£35000 + benefits,"permanent,full-time",Work from home,https://jobsinkent.com/job/2424211,2022-10-31,jobsinkent.com/search
12,Senior SQL Database Developer,Hays Specialist Recruitment Ltd,£70000.00 - £85000.00 per annum,"permanent,full-time","Sevenoaks, Kent",https://jobsinkent.com/job/2392506,2022-10-31,jobsinkent.com/search
13,Immediate Start Data-Entry,Huntress,£18000 - £20000 per annum,"temporary,full-time","West Malling, Kent",https://jobsinkent.com/job/2189560,2022-10-31,jobsinkent.com/search
14,"Pre-Sales Consultant - SQL, SaaS, Data - Hybrid - To £48K",Jump IT Recruitment Solutions Limited,To £48K+Bens+Opportunity,"permanent,full-time",Kent,https://jobsinkent.com/job/2356058,2022-10-31,jobsinkent.com/search
15,Invoice Data Entry Clerk,Connect2Staff,£9.50 - £10 per hour,"contract,full-time","Aylesford, Tonbridge and Malling, Kent",https://jobsinkent.com/job/2421116,2022-10-31,jobsinkent.com/search
17,Data Administrator,Hays Specialist Recruitment,Up to £23500.00 per annum,"permanent,full-time","Slough, Berkshire",https://jobsinkent.com/job/2116836,2022-10-31,jobsinkent.com/search
18,Dispatch/Data Entry Administrator,Pearson Whiffin Recruitment,£20000 - £22000 per annum + great benefits,"permanent,full-time","Sittingbourne, Kent",https://jobsinkent.com/job/2044095,2022-10-31,jobsinkent.com/search
19,Immediate Start - Data Entry,Huntress,£11.00 - £11.63 per hour,"temporary,full-time","Ashford, Kent",https://jobsinkent.com/job/2389911,2022-10-31,jobsinkent.com/search
20,"Senior Azure Specialists WANTED - Native, Data Platform, Automation",Jump IT Recruitment Solutions Limited,£65K-£90K+Bens+Opportunity+Equity,"permanent,full-time",Work from home,https://jobsinkent.com/job/2145576,2022-10-31,jobsinkent.com/search
21,Data Analyst,Hays Specialist Recruitment Ltd,£45000.00 - £50000.00 per annum,"permanent,full-time","Dartford, Kent",https://jobsinkent.com/job/2145570,2022-10-31,jobsinkent.com/search
22,Senior Data Governance Manager,MW Appointments,£90000 - £110000 per annum + + package,"permanent,full-time","City of London, Greater London",https://jobsinkent.com/job/2053074,2022-10-31,jobsinkent.com/search
23,Azure Data Engineer,Pearson Whiffin Recruitment,£50000 - £60000 per annum,"permanent,full-time","Central London, Greater London",https://jobsinkent.com/job/2263413,2022-10-31,jobsinkent.com/search
24,Junior Data Analyst - MS SQL & Excel,Pearson Whiffin Recruitment,£22000 - £27500 per annum + Excellent Benefits,"permanent,full-time","Dover, Kent",https://jobsinkent.com/job/2052907,2022-10-31,jobsinkent.com/search
25,Data Protection & Governance Manager,Atlas Recruitment Group,£50000 - £55000 per annum + Bonus,"permanent,full-time","Hastings, Sussex",https://jobsinkent.com/job/2261948,2022-10-31,jobsinkent.com/search
26,"Data Scientist - AI, Python, Machine Learning, CNN, Deep Learning",Jump IT Recruitment Solutions Limited,£35K-£90K+Bens+,"permanent,full-time",Work from home,https://jobsinkent.com/job/2261649,2022-10-31,jobsinkent.com/search
27,Financial Data Entry,Huntress,Negotiable,"temporary,full-time","West Malling, Kent",https://jobsinkent.com/job/2180856,2022-10-31,jobsinkent.com/search
28,Data Analyst,MW Appointments,Up to £35000.00 per annum,"permanent,full-time","City of London, Greater London",https://jobsinkent.com/job/2142849,2022-10-31,jobsinkent.com/search
29,Finance Data & Systems Lead,Hays Specialist Recruitment Ltd,"£60000.00 - £65000.00 per annum + parking, flexible working","permanent,full-time",South West London,https://jobsinkent.com/job/2309432,2022-10-31,jobsinkent.com/search
30,Data Analyst,Commercial Services Interim & Executive Search,£41216 - £47199 per annum,"permanent,full-time","West Malling, Kent",https://jobsinkent.com/job/2423341,2022-10-31,jobsinkent.com/search
31,Senior SQL Database Developer,Hays Specialist Recruitment Ltd,£55000.00 - £70000.00 per annum,"permanent,full-time","Sevenoaks, Kent",https://jobsinkent.com/job/2341211,2022-10-31,jobsinkent.com/search
32,Digital Analyst/ Data Visualisation Executive,Recruitment Solutions South East Ltd,£30-35000 + benefits; hybrid/remote,"permanent,full-time","Tunbridge Wells, Kent",https://jobsinkent.com/job/2422937,2022-10-31,jobsinkent.com/search
33,Data Entry Clerk,Connect2Staff,Up to £10 per hour,"temporary,full-time","Kings Hill, Kent",https://jobsinkent.com/job/2387643,2022-10-31,jobsinkent.com/search
34,Data Analyst / Quality Analyst,Pearson Whiffin Recruitment,"£35,000 - £45,000 per annum + Benefits","permanent,full-time","Sevenoaks, Kent",https://jobsinkent.com/job/2134054,2022-10-31,jobsinkent.com/search
35,Senior SQL Database Developer,Hays Specialist Recruitment Ltd,£55000.00 - £70000.00 per annum,"permanent,full-time","Tonbridge, Kent",https://jobsinkent.com/job/2381871,2022-10-31,jobsinkent.com/search
