,job_title,company,salary,contract,location,job_url,advertised_on
0,Data Architect,The Rank Group,,Permanent,London,https://www.reed.co.uk/jobs/data-architect/48419152,reed.co.uk
1,Data Engineer,Veolia UK,"£40,000 - £56,000 per annum, inc benefits",Permanent,London,https://www.reed.co.uk/jobs/data-engineer/48533252,reed.co.uk
4,Data Analyst,Morgan Sindall Property Services,"£35,000 - £40,000 per annum, inc benefits",Permanent,Dartford,https://www.reed.co.uk/jobs/data-analyst/48211407,reed.co.uk
9,Data Architect,Trust Payments,,Permanent,London,https://www.reed.co.uk/jobs/data-architect/48596408,reed.co.uk
20,Data Architect,Franklin Fitch,"£90,000 - £95,000 per annum",Permanent,London,https://www.reed.co.uk/jobs/data-architect/48326912,reed.co.uk
31,Data Cabling engineer. ,F&D Tech Solutions,"£22,000 - £38,000 per annum, negotiable, OTE",Permanent,Bexleyheath,https://www.reed.co.uk/jobs/data-cabling-engineer/48475959,reed.co.uk
32,Claims Data Analyst,Hastings Direct,,Permanent,East Sussex,https://www.reed.co.uk/jobs/claims-data-analyst/48405690,reed.co.uk
33,Data Analyst - Trainee,Newto IT,,Permanent,United Kingdom,https://www.reed.co.uk/jobs/data-analyst-trainee/48599496,reed.co.uk
37,Data Lead and Manager,Harris Federation,"£40,566 - £42,585 per annum",Permanent,Orpington,https://www.reed.co.uk/jobs/data-lead-and-manager/48473616,reed.co.uk
40,Trainee Data Analyst Course,Hatch,,Permanent,United Kingdom,https://www.reed.co.uk/jobs/trainee-data-analyst-course/48630039,reed.co.uk
41,Data Migration Delivery Lead,SS&C,,Permanent,Basildon,https://www.reed.co.uk/jobs/data-migration-delivery-lead/48215884,reed.co.uk
49,Data Entry Work From Home Online,925HomeJobs,,Permanent,United Kingdom,https://www.reed.co.uk/jobs/data-entry-work-from-home-online/48635620,reed.co.uk
62,Exams & Data Officer - Bromley / Kent Borders Nov 2022,Randstad Education,"£23,718 - £25,170 per annum",Permanent,Swanley,https://www.reed.co.uk/jobs/exams-data-officer-bromley-kent-borders-nov-2022/48415285,reed.co.uk
1452,HE Data Quality & Exams Officer,North Kent College," £12,810 pro-rata (£21,000 full time equivalent)"," permanent,part-time"," Tonbridge, Kent",https://jobsinkent.com/job/2423371,jobsinkent.com/search
1457,Senior Data Analyst,Clarion Housing Group Ltd, £43264 - £59488 per annum," permanent,full-time"," Central London, Greater London",https://jobsinkent.com/job/2423530,jobsinkent.com/search
1466,Lecturer/Senior Lecturer in Biological Data Science,Canterbury Christ Church University," £31,342- £45,954"," permanent,full-time"," Canterbury, Kent",https://jobsinkent.com/job/2422784,jobsinkent.com/search
1496,Data Cable Engineer - City of London,PW Construction, Negotiable," temporary,full-time"," City of London, Greater London",https://jobsinkent.com/job/2421623,jobsinkent.com/search
1499,"BI, Data & Performance Manager (Healthcare)",Commercial Services Trading Ltd, £52000 - £55000 per annum + (Pro Rata)," contract,part-time"," Royal Tunbridge Wells, Kent",https://jobsinkent.com/job/2064801,jobsinkent.com/search
