,job_title,company,salary,contract,location,job_url,advertised_on
0,Data Analyst,Hays Specialist Recruitment Limited,"£35,000 - £40,000 per annum",Permanent,Dartford,https://www.reed.co.uk/jobs/data-analyst/48641144,reed.co.uk
1,Data Inputter,Clemence Rogers Recruitment,"£20,000 per annum",Permanent,Belvedere,https://www.reed.co.uk/jobs/data-inputter/48501042,reed.co.uk
2,Data Architect,Circle Recruitment,£600.00 - £700.00 per day,Contract,London,https://www.reed.co.uk/jobs/data-architect/48357256,reed.co.uk
3,Data Consultant,Anson McCade Ltd - IT and Finance Recruitment,"£60,000 - £85,000 per annum",Permanent,London,https://www.reed.co.uk/jobs/data-consultant/48276277,reed.co.uk
4,Data Architect,Understanding Recruitment,"£65,000 - £80,000 per annum, negotiable, inc benefits",Permanent,London,https://www.reed.co.uk/jobs/data-architect/48625758,reed.co.uk
5,Data Analyst - Tower Hamlets,4Recruitment Services,£23.00 per hour,Contract,Tower Hamlets,https://www.reed.co.uk/jobs/data-analyst-tower-hamlets/48450673,reed.co.uk
6,Digital Analyst/Data Visualisation Executive- Remote,Recruitment Solutions,"£30,000 - £35,000 per annum",Permanent,Tunbridge Wells,https://www.reed.co.uk/jobs/digital-analyst-data-visualisation-executive-remote/48636101,reed.co.uk
7,Temporary Database Administrator,Julie Rose Recruitment,£11.00 - £13.00 per hour,Temporary,Sevenoaks,https://www.reed.co.uk/jobs/temporary-database-administrator/48344699,reed.co.uk
8,"Senior Azure Specialists WANTED - Native, Data Platform, Automation",Jump IT Recruitment Solutions Limited, £65K-£90K+Bens+Opportunity+Equity," permanent,full-time", Work from home,https://jobsinkent.com/job/2145576,jobsinkent.com/search
9,Data Analyst,Hays Specialist Recruitment Ltd, £45000.00 - £50000.00 per annum," permanent,full-time"," Dartford, Kent",https://jobsinkent.com/job/2145570,jobsinkent.com/search
10,Azure Data Engineer,Pearson Whiffin Recruitment, £50000 - £60000 per annum," permanent,full-time"," Central London, Greater London",https://jobsinkent.com/job/2263413,jobsinkent.com/search
11,Data Protection & Governance Manager,Atlas Recruitment Group, £50000 - £55000 per annum + Bonus," permanent,full-time"," Hastings, Sussex",https://jobsinkent.com/job/2261948,jobsinkent.com/search
12,Data Lead (Digital Marketing),Recruitment Solutions Folkestone Ltd," £30-40,000 dep on exp"," permanent,full-time"," Ashford, Kent",https://jobsinkent.com/job/2277249,jobsinkent.com/search
13,Digital Analyst/ Data Visualisation Executive,Recruitment Solutions South East Ltd, £30-35000 + benefits; hybrid/remote," permanent,full-time"," Tunbridge Wells, Kent",https://jobsinkent.com/job/2422937,jobsinkent.com/search
14,Data and Business Services Assistant,Barker Munro Recruitment Limited," £20,000 - 30,000"," permanent,full-time"," Tunbridge Wells, Kent",https://jobsinkent.com/job/2133378,jobsinkent.com/search
15,Data Assistant / Analyst (with marketing),KHR - Recruitment Specialists, + Benefits," permanent,full-time"," Sevenoaks, Kent",https://jobsinkent.com/job/2421290,jobsinkent.com/search
16,Data Administrator,Hays Specialist Recruitment, Up to £23500.00 per annum," permanent,full-time"," Slough, Berkshire",https://jobsinkent.com/job/2116836,jobsinkent.com/search
17,Data Analyst,Commercial Services Interim & Executive Search,"£41,216 - £47,199 per annum",Permanent,West Malling,https://www.reed.co.uk/jobs/data-analyst/48529572,reed.co.uk
18,Data Lead,Reed,"£27,000 - £39,000 per annum, inc benefits",Permanent,Folkestone,https://www.reed.co.uk/jobs/data-lead/48401295,reed.co.uk
19,Data Administrator ,Braundton Consulting Limited,"£22,194 per annum",Permanent,Orpington,https://www.reed.co.uk/jobs/data-administrator/48636996,reed.co.uk
20,Data Engineer,Salt Search,£400.00 - £500.00 per day,Contract,London,https://www.reed.co.uk/jobs/data-engineer/48426695,reed.co.uk
21,Data Architect,Proactive Appointments,"£80,000 - £110,000 per annum",Permanent,London,https://www.reed.co.uk/jobs/data-architect/48518497,reed.co.uk
22,Data Scientist,BCT Resourcing,"£90,000 per annum",Permanent,White City,https://www.reed.co.uk/jobs/data-scientist/48209909,reed.co.uk
23,Data Architect,The People Network,"£85,000 - £95,000 per annum",Permanent,London,https://www.reed.co.uk/jobs/data-architect/48554271,reed.co.uk
24,Data Engineer,Jenrick Commercial,"£50,000 - £65,000 per annum, negotiable, inc benefits",Permanent,London,https://www.reed.co.uk/jobs/data-engineer/48219558,reed.co.uk
25,Data Engineer,eFinancialCareers,,Permanent,London,https://www.reed.co.uk/jobs/data-engineer/48604523,reed.co.uk
26,Data Architect,Boston Hale,"£70,000 - £80,000 per annum",Permanent,London,https://www.reed.co.uk/jobs/data-architect/48225389,reed.co.uk
27,Data Architect,Eames Consulting,"£120,000 per annum",Permanent,London,https://www.reed.co.uk/jobs/data-architect/48309112,reed.co.uk
28,Market Data Support,Pontoon,,Permanent,Bromley,https://www.reed.co.uk/jobs/market-data-support/48586232,reed.co.uk
29,Data Product Lead,Nigel Frank International,"£60,000 - £68,000 per annum",Permanent,Maidstone,https://www.reed.co.uk/jobs/data-product-lead/48586852,reed.co.uk
30,Graduate Data Analyst,Huntress,"£23,000 per annum",Permanent,Tenterden,https://www.reed.co.uk/jobs/graduate-data-analyst/48389352,reed.co.uk
31,Junior Data Analyst,OBJECTIVE HR LTD,"£25,000 - £35,000 per annum",Permanent,Wickford,https://www.reed.co.uk/jobs/junior-data-analyst/48535395,reed.co.uk
32,Data and BI Analyst,Commercial Services HR,"£30,000 - £35,000 per annum",Permanent,Kings Hill,https://www.reed.co.uk/jobs/data-and-bi-analyst/48625098,reed.co.uk
33,Supply Chain Data Analyst,Rutherford Briant,"£42,000 per annum",Permanent,Basildon,https://www.reed.co.uk/jobs/supply-chain-data-analyst/48610970,reed.co.uk
34,Invoice Data Entry Clerk,Connect2Staff,£9.50 - £10.00 per hour,Contract,Aylesford,https://www.reed.co.uk/jobs/invoice-data-entry-clerk/48260558,reed.co.uk
35,Project Officer / Data Analyst,Brook Street,£12.00 per hour,Temporary,South Ashford,https://www.reed.co.uk/jobs/project-officer-data-analyst/48271055,reed.co.uk
36,Trade Data Scala Developer,McGregor Boyall,£650.00 - £850.00 per day,Contract,Bromley,https://www.reed.co.uk/jobs/trade-data-scala-developer/48344623,reed.co.uk
37,Data Administrator 6 month Fixed Term Contract,SAGA,"£1 - £23,600 per annum",Temporary,Sandgate,https://www.reed.co.uk/jobs/data-administrator-6-month-fixed-term-contract/48246944,reed.co.uk
38,School Data Admin support - SIittingbourne,Academics,£12.00 per hour,Contract,Sittingbourne,https://www.reed.co.uk/jobs/school-data-admin-support-siittingbourne/48382807,reed.co.uk
39,Part time - Data Processing Assistant 9 month contract,Office Angels,"£21,000 - £24,000 per annum",Contract,Basildon,https://www.reed.co.uk/jobs/part-time-data-processing-assistant-9-month-contract/48339779,reed.co.uk
40,SQL Server Database Developer,Lorien,"£70,000 - £85,000 per annum",Permanent,Bromley,https://www.reed.co.uk/jobs/sql-server-database-developer/48094316,reed.co.uk
41,Data Engineer ,BJSS,,Permanent,London,https://www.reed.co.uk/jobs/data-engineer/48644911,reed.co.uk
42,Senior Data Governance Manager,MW Appointments, £90000 - £110000 per annum + + package," permanent,full-time"," City of London, Greater London",https://jobsinkent.com/job/2053074,jobsinkent.com/search
43,Data Administrator,Manpower - Ashford, £10.00ph," permanent,full-time/part-time"," Tunbridge Wells, Kent",https://jobsinkent.com/job/1932171,jobsinkent.com/search
