,job_title,company,salary,contract,location,job_url,advertised_on
2,Data Analyst,Morgan Sindall Property Services,"£26,000 - £34,000 per annum, inc benefits",Permanent,Billericay,https://www.reed.co.uk/jobs/data-analyst/48223150,reed.co.uk
3,Data Analyst,IronmongeryDirect & ElectricalDirect,"£32,000 - £35,000 per annum",Permanent,Basildon,https://www.reed.co.uk/jobs/data-analyst/48320718,reed.co.uk
8,Data Analytics Engineer,Treatwell,,Permanent,United Kingdom,https://www.reed.co.uk/jobs/data-analytics-engineer/48136108,reed.co.uk
9,Trainee Data Analyst,Hatch,,Permanent,United Kingdom,https://www.reed.co.uk/jobs/trainee-data-analyst/48472466,reed.co.uk
14,Data Migration Analyst,SS&C,,Permanent,Basildon,https://www.reed.co.uk/jobs/data-migration-analyst/48215959,reed.co.uk
15,Online Data Analyst,TELUS International AI Inc.,,Permanent,United Kingdom,https://www.reed.co.uk/jobs/online-data-analyst/48335088,reed.co.uk
18,Data Cabling engineer. ,F&D Tech Solutions,"£22,000 - £38,000 per annum, negotiable, OTE",Permanent,Bexleyheath,https://www.reed.co.uk/jobs/data-cabling-engineer/48475959,reed.co.uk
19,Claims Data Analyst,Hastings Direct,,Permanent,East Sussex,https://www.reed.co.uk/jobs/claims-data-analyst/48405690,reed.co.uk
20,Data Lead and Manager,Harris Federation,"£40,566 - £42,585 per annum",Permanent,Orpington,https://www.reed.co.uk/jobs/data-lead-and-manager/48473616,reed.co.uk
21,Data Analyst - HR ,P&O Ferries,"£38,000 - £42,000 per annum",Permanent,Dover,https://www.reed.co.uk/jobs/data-analyst-hr/47521087,reed.co.uk
34,Asset Data & Intelligence Technician,National Highways,"£25,324 - £26,590 per annum",Permanent,Maidstone,https://www.reed.co.uk/jobs/asset-data-intelligence-technician/48387282,reed.co.uk
35,Data Entry Work From Home Online,925HomeJobs,,Permanent,United Kingdom,https://www.reed.co.uk/jobs/data-entry-work-from-home-online/48351777,reed.co.uk
44,Exams & Data Officer - Bromley / Kent Borders Nov 2022,Randstad Education,"£23,718 - £25,170 per annum",Permanent,Swanley,https://www.reed.co.uk/jobs/exams-data-officer-bromley-kent-borders-nov-2022/48415285,reed.co.uk
1588,HE Data Quality & Exams Officer,North Kent College," £12,810 pro-rata (£21,000 full time equivalent)"," permanent,part-time"," Tonbridge, Kent",https://jobsinkent.com/job/2423371,jobsinkent.com/search
1593,Senior Data Analyst,Clarion Housing Group Ltd, £43264 - £59488 per annum," permanent,full-time"," Central London, Greater London",https://jobsinkent.com/job/2423530,jobsinkent.com/search
1602,Lecturer/Senior Lecturer in Biological Data Science,Canterbury Christ Church University," £31,342- £45,954"," permanent,full-time"," Canterbury, Kent",https://jobsinkent.com/job/2422784,jobsinkent.com/search
1632,Data Cable Engineer - City of London,PW Construction, Negotiable," temporary,full-time"," City of London, Greater London",https://jobsinkent.com/job/2421623,jobsinkent.com/search
1635,"BI, Data & Performance Manager (Healthcare)",Commercial Services Trading Ltd, £52000 - £55000 per annum + (Pro Rata)," contract,part-time"," Royal Tunbridge Wells, Kent",https://jobsinkent.com/job/2064801,jobsinkent.com/search
