,job_title,company,salary,contract,location,job_url,advertised_on
0,Data Engineering Consultant ,Recruitment Solutions,"£30,000 - £35,000 per annum",Permanent,Sevenoaks,https://www.reed.co.uk/jobs/data-engineering-consultant/48316096,reed.co.uk
1,School Data Officer,Qin Recruitment Ltd,"£29,298 - £33,489 per annum",Permanent,Sidcup,https://www.reed.co.uk/jobs/school-data-officer/48092597,reed.co.uk
2,Data Analyst - Tower Hamlets,4Recruitment Services,£23.00 per hour,Contract,Tower Hamlets,https://www.reed.co.uk/jobs/data-analyst-tower-hamlets/48450673,reed.co.uk
3,Marketing Data & Insights Analyst,Lloyd Recruitment Services Ltd,"£35,000 - £42,000 per annum, inc benefits",Permanent,East Grinstead,https://www.reed.co.uk/jobs/marketing-data-insights-analyst/47630241,reed.co.uk
4,Temporary Database Administrator,Julie Rose Recruitment,£11.00 - £13.00 per hour,Temporary,Sevenoaks,https://www.reed.co.uk/jobs/temporary-database-administrator/48344699,reed.co.uk
5,"Senior Azure Specialists WANTED - Native, Data Platform, Automation",Jump IT Recruitment Solutions Limited, £65K-£90K+Bens+Opportunity+Equity," permanent,full-time", Work from home,https://jobsinkent.com/job/2145576,jobsinkent.com/search
6,Data Analyst,Hays Specialist Recruitment Ltd, £45000.00 - £50000.00 per annum," permanent,full-time"," Dartford, Kent",https://jobsinkent.com/job/2145570,jobsinkent.com/search
7,Azure Data Engineer,Pearson Whiffin Recruitment, £50000 - £60000 per annum," permanent,full-time"," Central London, Greater London",https://jobsinkent.com/job/2263413,jobsinkent.com/search
8,Data Protection & Governance Manager,Atlas Recruitment Group, £50000 - £55000 per annum + Bonus," permanent,full-time"," Hastings, Sussex",https://jobsinkent.com/job/2261948,jobsinkent.com/search
9,Data Lead (Digital Marketing),Recruitment Solutions Folkestone Ltd," £30-40,000 dep on exp"," permanent,full-time"," Ashford, Kent",https://jobsinkent.com/job/2277249,jobsinkent.com/search
10,Digital Analyst/ Data Visualisation Executive,Recruitment Solutions South East Ltd, £30-35000 + benefits; hybrid/remote," permanent,full-time"," Tunbridge Wells, Kent",https://jobsinkent.com/job/2422937,jobsinkent.com/search
11,Data and Business Services Assistant,Barker Munro Recruitment Limited," £20,000 - 30,000"," permanent,full-time"," Tunbridge Wells, Kent",https://jobsinkent.com/job/2133378,jobsinkent.com/search
12,Data Assistant / Analyst (with marketing),KHR - Recruitment Specialists, + Benefits," permanent,full-time"," Sevenoaks, Kent",https://jobsinkent.com/job/2421290,jobsinkent.com/search
13,Data Administrator,Hays Specialist Recruitment, Up to £23500.00 per annum," permanent,full-time"," Slough, Berkshire",https://jobsinkent.com/job/2116836,jobsinkent.com/search
14,Data Lead,Reed,"£27,000 - £39,000 per annum, inc benefits",Permanent,Folkestone,https://www.reed.co.uk/jobs/data-lead/48401296,reed.co.uk
15,Data Analyst,Senitor Associates,"£35,000 - £45,000 per annum",Permanent,Sittingbourne,https://www.reed.co.uk/jobs/data-analyst/48120219,reed.co.uk
16,Data Analyst,OnetoOne Personnel,"£33,000 - £50,000 per annum",Permanent,Leigh-on-Sea,https://www.reed.co.uk/jobs/data-analyst/48465441,reed.co.uk
