,employerName,jobTitle,locationName,salary,externalUrl,jobUrl,contractType
0,The Rank Group,Data Architect,London,,https://jobs.smartrecruiters.com/TheRankGroup/743999855268416-data-architect,https://www.reed.co.uk/jobs/data-architect/48419152,Permanent
1,Veolia UK,Data Engineer,London,"£40,000 - £56,000 per annum, inc benefits",https://veoliauki.wd3.myworkdayjobs.com/VESCareers/job/London/Data-Engineer_JR6225,https://www.reed.co.uk/jobs/data-engineer/48533252,Permanent
2,Commercial Services Interim & Executive Search,Data Analyst,West Malling,"£41,216 - £47,199 per annum",,https://www.reed.co.uk/jobs/data-analyst/48529572,Permanent
3,Reed,Data Lead,Folkestone,"£27,000 - £39,000 per annum, inc benefits",,https://www.reed.co.uk/jobs/data-lead/48401295,Permanent
4,Morgan Sindall Property Services,Data Analyst,Dartford,"£35,000 - £40,000 per annum, inc benefits",https://morgansindall.octo-firstclass.co.uk/candidates/account/login/142877?aisId=3&WSID=221&src=3,https://www.reed.co.uk/jobs/data-analyst/48211407,Permanent
5,Braundton Consulting Limited,Data Administrator ,Orpington,"£22,194 per annum",,https://www.reed.co.uk/jobs/data-administrator/48636996,Permanent
6,Reed,Data Lead,Folkestone,"£27,000 - £39,000 per annum, inc benefits",,https://www.reed.co.uk/jobs/data-lead/48401296,Permanent
7,Hays Specialist Recruitment Limited,Data Analyst,Dartford,"£35,000 - £40,000 per annum",,https://www.reed.co.uk/jobs/data-analyst/48641144,Permanent
8,Clemence Rogers Recruitment,Data Inputter,Belvedere,"£20,000 per annum",,https://www.reed.co.uk/jobs/data-inputter/48501042,Permanent
9,Trust Payments,Data Architect,London,,,https://www.reed.co.uk/jobs/data-architect/48596408,Permanent
10,Salt Search,Data Engineer,London,£400.00 - £500.00 per day,,https://www.reed.co.uk/jobs/data-engineer/48426695,Contract
11,Circle Recruitment,Data Architect,London,£600.00 - £700.00 per day,,https://www.reed.co.uk/jobs/data-architect/48357256,Contract
12,Anson McCade Ltd - IT and Finance Recruitment,Data Consultant,London,"£60,000 - £85,000 per annum",,https://www.reed.co.uk/jobs/data-consultant/48276277,Permanent
13,Hays Specialist Recruitment Limited,Data Architect,London,"£60,000 - £65,000 per annum",,https://www.reed.co.uk/jobs/data-architect/48399176,Permanent
14,Proactive Appointments,Data Architect,London,"£80,000 - £110,000 per annum",,https://www.reed.co.uk/jobs/data-architect/48518497,Permanent
15,BCT Resourcing ,Data Scientist,White City,"£90,000 per annum",https://bctresourcing.co.uk/candidate-register?jobid=2019948&utm_source=reed.co.uk&utm_medium=referral,https://www.reed.co.uk/jobs/data-scientist/48209909,Permanent
16,Anson McCade Ltd - IT and Finance Recruitment,Data Architect,London,"£55,000 - £70,000 per annum",,https://www.reed.co.uk/jobs/data-architect/48591995,Permanent
17,Understanding Recruitment,Data Architect,London,"£65,000 - £80,000 per annum, negotiable, inc benefits",,https://www.reed.co.uk/jobs/data-architect/48625758,Permanent
18, The People Network ,Data Architect,London,"£85,000 - £95,000 per annum",,https://www.reed.co.uk/jobs/data-architect/48554271,Permanent
19,Jenrick Commercial,Data Engineer,London,"£50,000 - £65,000 per annum, negotiable, inc benefits",,https://www.reed.co.uk/jobs/data-engineer/48219558,Permanent
20,Franklin Fitch,Data Architect,London,"£90,000 - £95,000 per annum",,https://www.reed.co.uk/jobs/data-architect/48326912,Permanent
21,eFinancialCareers,Data Engineer,London,,https://click.appcast.io/track/feandix?cs=lgy&jg=50o8&bid=yG21_Qzxq2fpdvTlw_qDzw==,https://www.reed.co.uk/jobs/data-engineer/48604523,Permanent
22,Boston Hale,Data Architect,London,"£70,000 - £80,000 per annum",,https://www.reed.co.uk/jobs/data-architect/48225389,Permanent
23, The People Network ,Data Engineer,London,"£85,000 - £90,000 per annum",,https://www.reed.co.uk/jobs/data-engineer/48465593,Permanent
24,Trust Payments,Data Analyst,London,,,https://www.reed.co.uk/jobs/data-analyst/48610212,Permanent
25,Boston Hale,Data Engineer,London,"£40,000 per annum",,https://www.reed.co.uk/jobs/data-engineer/48200885,Permanent
26,Eames Consulting,Data Architect,London,"£120,000 per annum",,https://www.reed.co.uk/jobs/data-architect/48309112,Permanent
27,Pontoon,Market Data Support,Bromley,,,https://www.reed.co.uk/jobs/market-data-support/48586232,Permanent
28,Nigel Frank International,Data Product Lead,Maidstone,"£60,000 - £68,000 per annum",,https://www.reed.co.uk/jobs/data-product-lead/48586852,Permanent
29,Huntress,Graduate Data Analyst,Tenterden,"£23,000 per annum",,https://www.reed.co.uk/jobs/graduate-data-analyst/48389352,Permanent
30,OBJECTIVE HR LTD,Junior Data Analyst,Wickford,"£25,000 - £35,000 per annum",,https://www.reed.co.uk/jobs/junior-data-analyst/48535395,Permanent
31,F&D Tech Solutions,Data Cabling engineer. ,Bexleyheath,"£22,000 - £38,000 per annum, negotiable, OTE",,https://www.reed.co.uk/jobs/data-cabling-engineer/48475959,Permanent
32,Hastings Direct,Claims Data Analyst,East Sussex,,https://www.aplitrak.com/?adid=YWxpY2VqLjMyNDg2LjM0NzlAaGFzdGluZ3MuYXBsaXRyYWsuY29t,https://www.reed.co.uk/jobs/claims-data-analyst/48405690,Permanent
33,Newto IT,Data Analyst - Trainee,United Kingdom,,,https://www.reed.co.uk/jobs/data-analyst-trainee/48599496,Permanent
34,Newto IT,Trainee - Data Analyst,United Kingdom,,,https://www.reed.co.uk/jobs/trainee-data-analyst/48599500,Permanent
