,jobTitle,employerName,salary,contractType,locationName,jobUrl
0,Data Architect,The Rank Group,,Permanent,London,https://www.reed.co.uk/jobs/data-architect/48419152
1,Data Engineer,Veolia UK,"£40,000 - £56,000 per annum, inc benefits",Permanent,London,https://www.reed.co.uk/jobs/data-engineer/48533252
2,Data Analyst,Commercial Services Interim & Executive Search,"£41,216 - £47,199 per annum",Permanent,West Malling,https://www.reed.co.uk/jobs/data-analyst/48529572
3,Data Lead,Reed,"£27,000 - £39,000 per annum, inc benefits",Permanent,Folkestone,https://www.reed.co.uk/jobs/data-lead/48401295
4,Data Analyst,Morgan Sindall Property Services,"£35,000 - £40,000 per annum, inc benefits",Permanent,Dartford,https://www.reed.co.uk/jobs/data-analyst/48211407
5,Data Administrator ,Braundton Consulting Limited,"£22,194 per annum",Permanent,Orpington,https://www.reed.co.uk/jobs/data-administrator/48636996
6,Data Lead,Reed,"£27,000 - £39,000 per annum, inc benefits",Permanent,Folkestone,https://www.reed.co.uk/jobs/data-lead/48401296
7,Data Analyst,Hays Specialist Recruitment Limited,"£35,000 - £40,000 per annum",Permanent,Dartford,https://www.reed.co.uk/jobs/data-analyst/48641144
8,Data Inputter,Clemence Rogers Recruitment,"£20,000 per annum",Permanent,Belvedere,https://www.reed.co.uk/jobs/data-inputter/48501042
9,Data Architect,Trust Payments,,Permanent,London,https://www.reed.co.uk/jobs/data-architect/48596408
10,Data Engineer,Salt Search,£400.00 - £500.00 per day,Contract,London,https://www.reed.co.uk/jobs/data-engineer/48426695
11,Data Architect,Circle Recruitment,£600.00 - £700.00 per day,Contract,London,https://www.reed.co.uk/jobs/data-architect/48357256
12,Data Consultant,Anson McCade Ltd - IT and Finance Recruitment,"£60,000 - £85,000 per annum",Permanent,London,https://www.reed.co.uk/jobs/data-consultant/48276277
13,Data Architect,Hays Specialist Recruitment Limited,"£60,000 - £65,000 per annum",Permanent,London,https://www.reed.co.uk/jobs/data-architect/48399176
14,Data Architect,Proactive Appointments,"£80,000 - £110,000 per annum",Permanent,London,https://www.reed.co.uk/jobs/data-architect/48518497
15,Data Scientist,BCT Resourcing ,"£90,000 per annum",Permanent,White City,https://www.reed.co.uk/jobs/data-scientist/48209909
16,Data Architect,Anson McCade Ltd - IT and Finance Recruitment,"£55,000 - £70,000 per annum",Permanent,London,https://www.reed.co.uk/jobs/data-architect/48591995
17,Data Architect,Understanding Recruitment,"£65,000 - £80,000 per annum, negotiable, inc benefits",Permanent,London,https://www.reed.co.uk/jobs/data-architect/48625758
18,Data Architect, The People Network ,"£85,000 - £95,000 per annum",Permanent,London,https://www.reed.co.uk/jobs/data-architect/48554271
19,Data Engineer,Jenrick Commercial,"£50,000 - £65,000 per annum, negotiable, inc benefits",Permanent,London,https://www.reed.co.uk/jobs/data-engineer/48219558
20,Data Architect,Franklin Fitch,"£90,000 - £95,000 per annum",Permanent,London,https://www.reed.co.uk/jobs/data-architect/48326912
21,Data Engineer,eFinancialCareers,,Permanent,London,https://www.reed.co.uk/jobs/data-engineer/48604523
22,Data Architect,Boston Hale,"£70,000 - £80,000 per annum",Permanent,London,https://www.reed.co.uk/jobs/data-architect/48225389
23,Data Engineer, The People Network ,"£85,000 - £90,000 per annum",Permanent,London,https://www.reed.co.uk/jobs/data-engineer/48465593
24,Data Analyst,Trust Payments,,Permanent,London,https://www.reed.co.uk/jobs/data-analyst/48610212
25,Data Engineer,Boston Hale,"£40,000 per annum",Permanent,London,https://www.reed.co.uk/jobs/data-engineer/48200885
26,Data Architect,Eames Consulting,"£120,000 per annum",Permanent,London,https://www.reed.co.uk/jobs/data-architect/48309112
27,Market Data Support,Pontoon,,Permanent,Bromley,https://www.reed.co.uk/jobs/market-data-support/48586232
